,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bredasdorp,-34.5322,20.0403,53.6,82,98,6.91,ZA,1621140905
1,Beberibe,-4.1797,-38.1306,78.01,94,40,6.91,BR,1621140905
2,Bambous Virieux,-20.3428,57.7575,79.0,78,75,12.66,MU,1621140905
3,Kitimat,54.0524,-128.6534,51.01,88,100,2.82,CA,1621140906
4,Rikitea,-23.1203,-134.9692,74.8,65,92,18.32,PF,1621140644
5,Clyde River,70.4692,-68.5914,10.4,67,1,9.22,CA,1621140907
6,Port Lincoln,-34.7333,135.8667,59.88,56,98,11.74,AU,1621140907
7,George Town,5.4112,100.3354,89.01,74,20,4.61,MY,1621140908
8,Jamestown,42.097,-79.2353,55.4,35,1,3.44,US,1621140908
9,Lebu,-37.6167,-73.65,50.14,84,10,8.66,CL,1621140909
10,Hermanus,-34.4187,19.2345,54.0,72,99,3.0,ZA,1621140640
11,Ushuaia,-54.8,-68.3,46.4,61,20,19.57,AR,1621140773
12,Nemuro,43.3236,145.575,55.4,94,75,18.41,JP,1621140910
13,Mount Gambier,-37.8333,140.7667,55.4,76,75,17.27,AU,1621140910
14,Cape Town,-33.9258,18.4232,54.0,93,0,5.75,ZA,1621140781
15,Khatanga,71.9667,102.5,22.28,81,99,11.72,RU,1621140911
16,Albany,42.6001,-73.9662,55.0,74,100,3.11,US,1621140911
17,Caravelas,-17.7125,-39.2481,70.93,71,97,5.5,BR,1621140868
18,Boyolangu,-8.1181,111.8935,82.94,70,66,10.58,ID,1621140912
19,Tumut,-35.3,148.2167,51.8,50,90,11.5,AU,1621140912
20,Vaini,-21.2,-175.2,78.8,89,75,9.22,TO,1621140913
21,Saint-Philippe,-21.3585,55.7679,78.8,53,75,6.91,RE,1621140913
22,Dvinskoy Bereznik,62.8551,42.7072,61.38,83,95,8.97,RU,1621140913
23,Mar del Plata,-38.0023,-57.5575,55.0,87,0,6.91,AR,1621140654
24,Hilo,19.7297,-155.09,80.6,54,1,9.22,US,1621140629
25,Mataura,-46.1927,168.8643,52.0,71,12,1.01,NZ,1621140914
26,Bundaberg,-24.85,152.35,71.6,35,2,8.05,AU,1621140615
27,Bengkulu,-3.8004,102.2655,85.53,67,35,6.08,ID,1621140915
28,Klaksvík,62.2266,-6.589,44.6,87,90,10.36,FO,1621140915
29,Phalombe,-15.8064,35.6507,65.35,71,31,1.28,MW,1621140916
30,Irtyshskiy,58.3333,68.1333,74.1,45,97,9.33,RU,1621140916
31,Jiexiu,37.0244,111.9125,52.93,76,100,5.95,CN,1621140665
32,Busselton,-33.65,115.3333,69.01,63,100,3.0,AU,1621140917
33,Keetmanshoop,-26.5833,18.1333,51.8,82,0,8.05,NA,1621140917
34,Newport,51.5877,-2.9984,48.0,91,98,7.67,GB,1621140710
35,Atuona,-9.8,-139.0333,79.54,67,6,16.35,PF,1621140918
36,Hithadhoo,-0.6,73.0833,84.88,72,100,16.13,MV,1621140918
37,Port Moresby,-9.4431,147.1797,87.8,74,75,11.5,PG,1621140700
38,Sola,-13.8833,167.55,82.31,72,23,6.87,VU,1621140919
39,Korla,41.7597,86.1469,69.3,28,98,11.72,CN,1621140920
40,Punta Arenas,-53.15,-70.9167,44.6,100,90,9.22,CL,1621140873
41,Havre-St-Pierre,50.2334,-63.5986,41.0,87,90,7.85,CA,1621140920
42,Tasiilaq,65.6145,-37.6368,26.6,68,28,3.44,GL,1621140921
43,Kurisove,46.9695,30.9591,59.0,100,100,2.24,UA,1621140921
44,Port Elizabeth,-33.918,25.5701,57.2,94,20,17.27,ZA,1621140922
45,Ambilobe,-13.2,49.05,76.57,65,17,4.36,MG,1621140922
46,Belaya Gora,68.5333,146.4167,44.6,55,100,9.95,RU,1621140922
47,Chokurdakh,70.6333,147.9167,33.08,98,100,7.11,RU,1621140923
48,Hurghada,27.2574,33.8129,77.0,23,0,5.75,EG,1621140923
49,Severo-Kuril'sk,50.6789,156.125,40.06,74,100,15.5,RU,1621140924
50,Butaritari,3.0707,172.7902,82.92,79,69,15.9,KI,1621140924
51,Wattegama,6.7989,81.4808,87.8,79,75,6.91,LK,1621140924
52,Lhokseumawe,5.1801,97.1507,85.8,67,100,4.79,ID,1621140925
53,Baykit,61.67,96.37,38.7,42,71,10.83,RU,1621140925
54,East London,-33.0153,27.9116,59.0,88,0,11.5,ZA,1621140926
55,George Town,5.4112,100.3354,89.01,74,20,4.61,MY,1621140908
56,Kissidougou,9.1848,-10.0999,68.38,95,100,2.37,GN,1621140927
57,Belém,-1.4558,-48.5044,75.2,94,75,4.38,BR,1621140866
58,São Filipe,14.8961,-24.4956,74.03,67,86,8.59,CV,1621140927
59,Cotonou,6.3654,2.4183,78.76,84,93,11.86,BJ,1621140928
60,Sémbé,1.6481,14.5806,70.39,98,100,1.01,CG,1621140928
61,Riviere-au-Renard,48.9957,-64.3971,46.4,76,90,2.3,CA,1621140928
62,New Norfolk,-42.7826,147.0587,57.0,77,80,3.0,AU,1621140929
63,Manyana,-23.4,21.7167,54.05,38,0,8.01,BW,1621140929
64,Kaitangata,-46.2817,169.8464,52.0,56,2,3.02,NZ,1621140930
65,Tuktoyaktuk,69.4541,-133.0374,33.8,86,20,12.66,CA,1621140930
66,Hasaki,35.7333,140.8333,75.0,83,75,14.97,JP,1621140931
67,Kununurra,-15.7667,128.7333,82.4,24,1,10.36,AU,1621140931
68,Nanortalik,60.1432,-45.2371,35.83,83,14,1.01,GL,1621140660
69,Mount Isa,-20.7333,139.5,77.0,15,0,12.66,AU,1621140932
70,Madang,-5.2246,145.7966,83.64,84,98,9.19,PG,1621140933
71,Alta Floresta,-9.8756,-56.0861,67.73,75,98,2.8,BR,1621140934
72,Ostrovnoy,68.0531,39.5131,32.59,94,100,12.84,RU,1621140934
73,Kapaa,22.0752,-159.319,75.2,69,75,18.41,US,1621140934
74,Jiayuguan City,39.8167,98.3,67.78,17,80,10.11,CN,1621140935
75,Hobart,-42.8794,147.3294,57.0,50,40,16.11,AU,1621140800
76,Sohāgpur,22.7,78.2,100.42,28,84,9.62,IN,1621140936
77,Ribeira Grande,38.5167,-28.7,63.14,92,100,3.78,PT,1621140936
78,Thompson,55.7435,-97.8558,42.8,65,75,6.91,CA,1621140937
79,Talaya,61.3833,152.75,40.05,72,99,8.41,RU,1621140937
80,Port Alfred,-33.5906,26.891,60.37,87,98,16.15,ZA,1621140851
81,Saskylakh,71.9167,114.0833,17.82,87,100,15.57,RU,1621140938
82,Sioux Lookout,50.1001,-91.917,48.2,81,40,2.3,CA,1621140872
83,Faanui,-16.4833,-151.75,81.97,69,100,16.31,PF,1621140938
84,Carnarvon,-24.8667,113.6333,80.6,36,33,10.36,AU,1621140645
85,Longyearbyen,78.2186,15.6401,23.0,63,40,4.61,SJ,1621140939
86,Maridi,4.9158,29.4742,69.82,88,49,3.09,SS,1621140939
87,Zykovo,55.9519,93.1461,46.4,93,90,0.65,RU,1621140940
88,Lüderitz,-26.6481,15.1594,59.95,88,36,6.62,NA,1621140781
89,Puerto Ayora,-0.7393,-90.3518,72.0,99,14,4.0,EC,1621140941
90,Zhezkazgan,47.8043,67.7144,75.0,26,0,8.25,KZ,1621140941
91,Waingapu,-9.6567,120.2641,84.6,61,39,15.32,ID,1621140941
92,Bagdarin,54.4333,113.6,55.38,40,96,13.29,RU,1621140942
93,Castro,-24.7911,-50.0119,49.28,98,4,3.29,BR,1621140942
94,Mingguang,32.7802,117.9638,56.73,89,100,15.52,CN,1621140943
95,Codrington,-38.2667,141.9667,57.83,66,52,19.86,AU,1621140943
96,Ballina,-28.8667,153.5667,66.2,55,90,11.5,AU,1621140943
97,Lázaro Cárdenas,17.9583,-102.2,81.32,76,3,4.83,MX,1621140944
98,Ahipara,-35.1667,173.1667,63.97,80,22,9.66,NZ,1621140661
99,Ontario,34.0633,-117.6509,60.8,72,75,11.5,US,1621140945
100,Geraldton,-28.7667,114.6,84.2,26,7,17.27,AU,1621140945
101,Kota Kinabalu,5.9749,116.0724,91.4,70,20,6.91,MY,1621140793
102,Coruripe,-10.1256,-36.1756,75.33,82,88,7.02,BR,1621140946
103,Puerto Colombia,10.9878,-74.9547,80.6,83,0,9.22,CO,1621140946
104,Lakes Entrance,-37.8811,147.981,62.01,52,79,3.0,AU,1621140946
105,Sulangan,11.1373,123.7228,85.19,70,67,9.04,PH,1621140947
106,Bilibino,68.0546,166.4372,35.47,80,94,1.86,RU,1621140947
107,Changping,40.2186,116.2197,77.0,27,0,6.71,CN,1621140948
108,Illapel,-31.6308,-71.1653,61.5,65,64,1.72,CL,1621140948
109,Mayo,38.8876,-76.5119,62.6,59,1,8.05,US,1621140948
